state,cd,dem_vote_count,gop_vote_count,other_votes
AL,1,"89,226","153,228",163
AL,2,"86,931","138,879",420
AL,3,"83,996","147,770",149
AL,4,"46,492","184,255",222
AL,5,"101,388","159,063",222
AL,6,"85,644","192,542",142
AL,7,"185,010",0,"4,153"
AK,AL,"131,199","149,779","1,188"
AZ,1,"143,240","122,784",65
AZ,2,"161,000","133,102",50
AZ,3,"114,650","64,868",0
AZ,4,"84,521","188,842","3,672"
AZ,5,"127,027","186,037",0
AZ,6,"140,559","173,140",0
AZ,7,"113,044",301,"18,706"
AZ,8,"135,569","168,835",13
AZ,9,"159,583","101,662",0
AR,1,"57,907","138,757","4,581"
AR,2,"116,135","132,125","5,193"
AR,3,"74,952","148,717","6,039"
AR,4,"63,984","136,740","4,168"
CA,1,"131,548","160,046",0
CA,2,"243,081","72,576",0
CA,3,"134,875","97,376",0
CA,4,"156,253","184,401",0
CA,5,"205,860",0,"55,158"
CA,6,"201,939",0,0
CA,7,"155,016","126,601",0
CA,8,0,"170,785",0
CA,9,"113,414","87,349",0
CA,10,"115,945","105,955",0
CA,11,"204,369","71,312",0
CA,12,"275,292","41,780",0
CA,13,"260,580",0,"34,257"
CA,14,"211,384","55,439",0
CA,15,"177,989","65,940",0
CA,16,"82,266","60,693",0
CA,17,"159,105","52,057",0
CA,18,"225,142","77,096",0
CA,19,"162,496","57,823",0
CA,20,"183,677",0,"42,044"
CA,21,"57,239","56,377",0
CA,22,"105,136","117,243",0
CA,23,"74,661","131,113",0
CA,24,"166,550","117,881",0
CA,25,"133,209","111,813",0
CA,26,"158,216","97,210",0
CA,27,"202,636",0,0
CA,28,"196,662","54,272",0
CA,29,"124,697","29,995",0
CA,30,"191,573","69,420",0
CA,31,"110,143","77,352",0
CA,32,"121,759","55,272",0
CA,33,"219,091","93,769",0
CA,34,"110,195",0,"41,711"
CA,35,"103,420","45,604",0
CA,36,"122,169","84,839",0
CA,37,"210,555","25,823",0
CA,38,"139,188","62,968",0
CA,39,"126,002","118,391",0
CA,40,"93,938",0,"27,511"
CA,41,"108,227","58,021",0
CA,42,"100,892","131,040",0
CA,43,"152,272","43,780",0
CA,44,"143,322",0,0
CA,45,"158,906","146,383",0
CA,46,"102,278","45,638",0
CA,47,"143,354","77,682",0
CA,48,"157,837","136,899",0
CA,49,"166,453","128,577",0
CA,50,"125,448","134,362",0
CA,51,"109,527","44,301",0
CA,52,"188,992","107,015",0
CA,53,"185,667","83,127",0
CO,1,"272,886","85,207","11,622"
CO,2,"259,608","144,901","26,256"
CO,3,"146,426","173,205","16,570"
CO,4,"145,544","224,038",39
CO,5,"126,848","184,002","11,866"
CO,6,"187,639","148,685","10,498"
CO,7,"204,260","119,734","14,073"
CT,1,"175,087","96,024","3,029"
CT,2,"179,731","102,483","6,900"
CT,3,"174,572","95,667",0
CT,4,"168,726","106,921",4
CT,5,"151,225","119,426",13
DE,AL,"227,353","125,384",0
FL,1,"106,199","216,189",0
FL,2,"96,233","199,335",0
FL,3,"129,880","176,616",0
FL,4,"123,351","248,420","9,478"
FL,5,"180,527","89,799",0
FL,6,"145,758","187,891",0
FL,7,"183,113","134,285",0
FL,8,"142,415","218,112",0
FL,9,"172,172","124,565",0
FL,10,1,0,0
FL,11,"128,053","239,395",58
FL,12,"132,844","194,564","7,510"
FL,13,"182,717","134,254",0
FL,14,1,0,0
FL,15,"134,132","151,380",20
FL,16,"164,463","197,483",0
FL,17,"117,194","193,326",0
FL,18,"156,454","185,905",0
FL,19,"128,106","211,465",36
FL,20,"202,659",0,165
FL,21,1,0,0
FL,22,"184,634","113,049",0
FL,23,"161,611","99,446","15,309"
FL,24,1,0,0
FL,25,"84,173","128,672",0
FL,26,"119,797","115,678",0
FL,27,"130,743","115,588","6,255"
GA,1,"105,942","144,741",0
GA,2,"136,699","92,472",0
GA,3,"101,010","191,996",0
GA,4,"227,717","61,092",0
GA,5,"275,406",0,0
GA,6,"160,139","156,875",18
GA,7,"140,010","140,443",0
GA,8,0,"198,152",564
GA,9,"57,912","224,661",5
GA,10,"112,339","190,396",0
GA,11,"118,653","191,887",0
GA,12,"101,503","148,986",3
GA,13,"223,157","69,760",93
GA,14,"53,981","175,743",0
HI,1,"134,650","42,498","7,063"
HI,2,"153,271","44,850",0
ID,1,"96,932","197,167","20,428"
ID,2,"110,381","170,274",0
IL,1,"189,560","50,960","17,365"
IL,2,"190,684","44,567",0
IL,3,"163,053","57,885","2,396"
IL,4,"143,895","22,294",0
IL,5,"213,992","65,134",5
IL,6,"169,001","146,445",0
IL,7,"215,746","30,497",0
IL,8,"130,054","67,073",0
IL,9,"213,368","76,983",0
IL,10,"156,540","82,124",0
IL,11,"145,407","82,358",0
IL,12,"118,724","134,884","7,935"
IL,13,"134,458","136,516",7
IL,14,"156,035","141,164",0
IL,15,"74,309","181,294",5
IL,16,"104,569","151,254",2
IL,17,"142,659","87,090",0
IL,18,"95,486","195,927",0
IN,1,"159,611","85,594",4
IN,2,"103,363","125,499",27
IN,3,"86,610","158,927",0
IN,4,"87,824","156,539",0
IN,5,"137,142","180,035",0
IN,6,"79,430","154,260","8,036"
IN,7,"141,139","76,457",233
IN,8,"86,895","157,396",0
IN,9,"118,090","153,271",0
IA,1,"170,342","153,442","10,459"
IA,2,"171,446","133,287","8,180"
IA,3,"175,642","167,933","12,666"
IA,4,"147,246","157,676","8,329"
KS,1,"71,558","153,082",0
KS,2,"123,859","126,098","14,731"
KS,3,"170,518","139,762","8,021"
KS,4,"98,445","144,248",0
KY,1,"78,849","172,167",0
KY,2,"79,964","171,700","5,681"
KY,3,"173,002","101,930","3,788"
KY,4,"90,536","162,946","8,330"
KY,5,"45,890","172,093",34
KY,6,"144,736","154,468","3,684"
LA,1,"71,521","192,555","5,249"
LA,2,"190,182",0,"45,800"
LA,3,"74,713","168,263","2,967"
LA,4,"72,934","139,326","4,612"
LA,5,"67,118","149,018","7,810"
LA,6,"76,716","186,553","5,256"
ME,1,"201,195","111,188","29,670"
ME,2,"142,440","138,931",8253
MD,1,"116,631","183,662","5,893"
MD,2,"167,201","77,782","8,319"
MD,3,"202,407","82,774","7,699"
MD,4,"209,642","53,327","5,498"
MD,5,"213,796","82,361","7,872"
MD,6,"163,346","105,209","8,133"
MD,7,"202,345","56,266","6,099"
MD,8,"217,679","96,525","4,998"
MA,1,"211,790",0,"5,110"
MA,2,"191,332","93,391",170
MA,3,"173,175","93,445","12,707"
MA,4,"245,289",0,"5,727"
MA,5,"236,243","74,856",225
MA,6,"217,703","104,798","11,474"
MA,7,"216,557",0,"3,852"
MA,8,"259,159",0,"4,148"
MA,9,"192,347","131,463",118
MI,1,"145,246","187,251",0
MI,2,"131,254","168,970","5,239"
MI,3,"134,185","169,107","7,448"
MI,4,"106,540","178,510",0
MI,5,"164,502","99,265","12,646"
MI,6,"134,082","147,436","11,920"
MI,7,"136,330","158,730",0
MI,8,"172,880","159,782","8,931"
MI,9,"181,734","112,123","10,706"
MI,10,"106,061","182,808","14,195"
MI,11,"181,912","158,463","10,526"
MI,12,"200,588","85,115","8,925"
MI,13,"165,355",0,"30,944"
MI,14,"214,334","45,899","4,761"
MN,1,"144,885","146,200",576
MN,2,"177,958","159,344",666
MN,3,"202,404","160,839",706
MN,4,"216,865","97,747","14,003"
MN,5,"267,703","74,440","1,215"
MN,6,"122,332","192,931",463
MN,7,"146,672","134,668",169
MN,8,"141,950","159,364","12,897"
MS,1,"76,601","158,245","1,675"
MS,2,"158,921",0,"62,458"
MS,3,"94,461","160,284","2,526"
MS,4,"68,787","152,633","2,312"
MO,1,"219,781","45,867","8,727"
MO,2,"177,611","192,477","5,978"
MO,3,"106,589","211,243","6,776"
MO,4,"95,968","190,138","7,210"
MO,5,"175,019","101,069","7,697"
MO,6,"97,660","199,796","7,953"
MO,7,"89,190","196,343","10,922"
MO,8,"66,151","194,042","4,206"
MT,AL,"233,284","256,661","14,476"
NE,1,"93,069","141,712",0
NE,2,"121,770","126,715",0
NE,3,"49,654","163,650",0
NV,1,"100,707","46,978","4,516"
NV,2,"120,102","167,435",0
NV,3,"148,501","122,566","15,101"
NV,4,"121,962","102,748","10,158"
NH,1,"155,891","131,015","4,160"
NH,2,"154,378","118,670","6,357"
NJ,1,"169,628","87,617","6,173"
NJ,2,"136,685","116,866","4,812"
NJ,3,"153,473","149,500","3,902"
NJ,4,"126,766","163,065","4,517"
NJ,5,"169,546","128,255","4,022"
NJ,6,"140,752","80,443",0
NJ,7,"166,985","150,785","4,972"
NJ,8,"119,881","28,725","4,849"
NJ,9,"140,832","57,854","1,730"
NJ,10,"175,253","20,191","4,715"
NJ,11,"183,684","136,322","3,568"
NJ,12,"173,334","79,041",0
NM,1,"147,336","90,507","11,319"
NM,2,"101,489","97,767",0
NM,3,"155,201","76,427","13,265"
NY,1,"127,991","139,027","2,988"
NY,2,"113,074","128,058",64
NY,3,"157,456","109,514",83
NY,4,"159,535","100,571",100
NY,5,"160,500",0,971
NY,6,"111,646",0,"11,775"
NY,7,"146,687",0,"10,615"
NY,8,"180,376",0,"11,191"
NY,9,"181,455","20,901","1,067"
NY,10,"173,095","37,619",244
NY,11,"101,823","89,441",909
NY,12,"217,430","30,446","4,001"
NY,13,"180,035","10,268",385
NY,14,"110,318","19,202","11,684"
NY,15,"124,469","5,205",77
NY,16,"182,044",0,"1,269"
NY,17,"170,168",0,"23,150"
NY,18,"137,405","110,808",0
NY,19,"145,444","131,702","6,407"
NY,20,"174,585","88,121",0
NY,21,"97,588","129,328","3,211"
NY,22,"122,565","119,422",0
NY,23,"106,914","127,287",0
NY,24,"123,226","136,920",0
NY,25,"158,772","110,644",140
NY,26,"169,166","61,488",5
NY,27,"137,471","139,155","5,814"
NC,1,"190,457","82,218",0
NC,2,"151,977","170,072","9,655"
NC,3,42585,"70,171",896
NC,4,"247,067","82,052","12,284"
NC,5,"120,468","159,917",0
NC,6,"123,651","160,709",0
NC,7,"120,838","156,809","4,665"
NC,8,"114,119","141,402",0
NC,9,"92,066","96,004","1,138"
NC,10,"113,259","164,969",0
NC,11,"116,508","178,012","6,146"
NC,12,"203,974","75,164",0
NC,13,"130,402","147,570","8,344"
ND,AL,"114,377","193,568","13,587"
OH,1,"141,118","154,409","5,344"
OH,2,"119,333","166,714","3,614"
OH,3,"181,575","65,040",62
OH,4,"89,412","167,993",0
OH,5,"99,655","176,569","7,393"
OH,6,"76,716","172,774",0
OH,7,"107,536","153,117",0
OH,8,"87,281","173,852",0
OH,9,"157,219","74,670",48
OH,10,"118,785","157,554","5,387"
OH,11,"206,138","44,486",36
OH,12,"161,251","175,677","4,719"
OH,13,"153,323","98,047",0
OH,14,"137,549","169,809",0
OH,15,"116,112","170,593","5,738"
OH,16,"129,681","170,029",0
OK,1,"103,042","150,129",0
OK,2,"65,021","140,451","10,530"
OK,3,"61,152","172,913",0
OK,4,"78,088","149,227","9,323"
OK,5,"121,149","117,811",0
OR,1,"231,198","116,446","15,605"
OR,2,"145,298","207,597","15,814"
OR,3,"279,019","76,187","29,120"
OR,4,"208,710","152,414","11,769"
OR,5,"197,187","149,887","11,395"
PA,1,"160,745","169,053",0
PA,2,"159,600","42,382",0
PA,3,"287,610","20,387",0
PA,4,"211,524","121,467",0
PA,5,"220,705","128,737",0
PA,6,"177,704","124,124",0
PA,7,"140,813","114,437","8,011"
PA,8,"135,603","112,563",0
PA,9,"100,204","148,723",0
PA,10,"141,668","149,365",0
PA,11,"113,876","163,708",0
PA,12,"82,825","161,047",0
PA,13,"74,733","178,533",0
PA,14,"110,051","151,386",0
PA,15,"78,327","165,245",0
PA,16,"124,109","135,348","2,939"
PA,17,"183,162","142,417",0
PA,18,"231,472",0,0
RI,1,"116,099","57,567",417
RI,2,"126,476","72,271",450
SC,1,"145,455","141,473",505
SC,2,"109,199","144,642","3,298"
SC,3,"70,046","153,338","2,820"
SC,4,"89,182","145,321","9,447"
SC,5,"103,129","141,757","3,693"
SC,6,"144,765","58,282","3,386"
SC,7,"95,564","142,681",309
SD,AL,"121,033","202,695","12,237"
TN,1,"47,138","172,835","4,309"
TN,2,"86,668","172,856","2,609"
TN,3,"84,731","156,512","4,522"
TN,4,"78,065","147,323","7,063"
TN,5,"177,923","84,317",8
TN,6,"70,370","172,810","5,560"
TN,7,"81,661","170,071","2,652"
TN,8,"74,755","168,030","5,560"
TN,9,"145,139","34,901","1,436"
TX,1,"61,263","168,165","3,292"
TX,2,"119,992","139,188","4,212"
TX,3,"138,234","169,520","4,757"
TX,4,"57,400","188,667","3,178"
TX,5,"78,666","130,617",224
TX,6,"116,350","135,961","3,731"
TX,7,"127,959","115,642",0
TX,8,"67,930","200,619","4,621"
TX,9,"136,256",0,"16,745"
TX,10,"144,034","157,166","6,627"
TX,11,"40,631","176,603","3,143"
TX,12,"90,994","172,557","4,940"
TX,13,"35,083","169,027","3,175"
TX,14,"92,212","138,942","3,374"
TX,15,"98,333","63,862","2,607"
TX,16,"124,437","49,127","8,190"
TX,17,"98,070","134,841","4,440"
TX,18,"138,704","38,368","7,260"
TX,19,"50,039","151,946",0
TX,20,"139,038",0,"32,925"
TX,21,"168,421","177,654","7,542"
TX,22,"138,153","152,750","6,502"
TX,23,"102,359","103,285","4,425"
TX,24,"125,231","133,317","4,870"
TX,25,"136,385","163,023","5,145"
TX,26,"121,938","185,551","5,016"
TX,27,"75,929","125,118","6,374"
TX,28,"117,494",0,"21,732"
TX,29,"88,188","28,098","1,208"
TX,30,"166,784",0,"16,390"
TX,31,"136,362","144,067","4,965"
TX,32,"144,067","126,101","5,452"
TX,33,"90,805","26,120","2,299"
TX,34,"85,825","57,243",0
TX,35,"138,278","50,553","5,236"
TX,36,"60,908","161,048",0
UT,1,"63,308","156,692","34,333"
UT,2,"105,051","151,489","13,504"
UT,3,"70,686","174,856","13,316"
UT,4,"134,964","134,270",37
VT,AL,"188,547","70,705","13,199"
VA,1,"148,464","183,250",387
VA,2,"139,571","133,458",371
VA,3,"198,615",0,"19,107"
VA,4,"187,642","107,706","4,506"
VA,5,"145,040","165,339",547
VA,6,"113,133","167,967",287
VA,7,"176,079","169,295","4,429"
VA,8,"247,137","76,899",712
VA,9,"85,833","160,933",214
VA,10,"206,356","160,841",598
VA,11,"219,191","83,023","6,051"
WA,1,"197,209","135,534",0
WA,2,"210,187",0,"84,646"
WA,3,"145,407","161,819",0
WA,4,"83,785","141,551",0
WA,5,"144,925","175,422",0
WA,6,"206,409","116,677",0
WA,7,"329,800","64,881",0
WA,8,"164,089","148,968",0
WA,9,"240,567",0,0
WA,10,"166,215","103,860",0
WV,1,"70,217","127,997",0
WV,2,"88,011","110,504","6,277"
WV,3,"76,340","98,645",0
WI,1,"137,508","177,492","10,013"
WI,2,"309,116",0,38
WI,3,"187,888","126,980",0
WI,4,"206,487","59,091","7,170"
WI,5,"138,385","225,619",1
WI,6,"144,536","180,311",0
WI,7,"124,307","194,061","4,419"
WI,8,"119,265","209,410",0
WY,AL,"59,903","127,963","13,379"
